name:ZTF19abxvjkn, band:g
alert_id, error, date, magnitude, image_id
188185951, 0.1, 58733.48881, 18.13, 188185951
188185946, 0.07, 58736.49079, 17.97, 188185946
192986531, 0.09, 58739.52449, 17.89, 192986531
196470635, 0.14, 58742.52403, 17.98, 196470635
202035027, 0.08, 58745.52657, 18.1, 202035027
208008473, 0.08, 58748.51598, 18.42, 208008473
218992784, 0.1,  58751.48296, 18.74, 218992784
218992758, 0.11, 58756.46904, 19.24,  218992758
255648158, 0.12, 58758.51201, 19.43, 255648158
255648176, 0.14, 58759.47334, 19.6, 255648176
